State_abv,State,County,CountyID,Lat,Long,Combined_Key,Case,Never,Rarely,Sometimes,Frequently,Always,votes_dem,votes_gop,Population_Density
SC,South Carolina,Abbeville,45001,34.22333378,-82.46170658,"Abbeville, South Carolina, US",366,0.117,0.102,0.243,0.166,0.371,3712,6742,51.8
VA,Virginia,Accomack,51001,37.76707161,-75.63234615,"Accomack, Virginia, US",1127,0.001,0.019,0.055,0.1,0.824,6737,8582,73.8
ID,Idaho,Ada,16001,43.4526575,-116.2415516,"Ada, Idaho, US",10132,0.118,0.078,0.084,0.194,0.526,75676,93748,372.8
IA,Iowa,Adair,19001,41.33075609,-94.47105874,"Adair, Iowa, US",42,0.073,0.128,0.128,0.307,0.364,1127,2456,13.5
KY,Kentucky,Adair,21001,37.10459774,-85.28129668,"Adair, Kentucky, US",233,0.076,0.115,0.167,0.243,0.399,1323,6637,46
MO,Missouri,Adair,29001,40.19058551,-92.60078167,"Adair, Missouri, US",189,0.067,0.098,0.187,0.253,0.395,3495,6019,45.1
OK,Oklahoma,Adair,40001,35.88494195,-94.65859267,"Adair, Oklahoma, US",384,0.105,0.068,0.258,0.213,0.356,1374,4753,39.6
CO,Colorado,Adams,8001,39.87432092,-104.3362578,"Adams, Colorado, US",6899,0.032,0.027,0.071,0.185,0.685,86471,73807,378.2
IA,Idaho,Adams,16003,44.89333571,-116.4545247,"Adams, Idaho, US",22,0.094,0.216,0.218,0.218,0.254,565,1393,2.9
ID,Illinois,Adams,17001,39.98815591,-91.18786813,"Adams, Illinois, US",672,0.18,0.092,0.189,0.19,0.35,415,1556,78.5
IL,Indiana,Adams,18001,40.7457653,-84.93671406,"Adams, Indiana, US",141,0.136,0.047,0.16,0.348,0.309,7633,22732,101.4
IN,Iowa,Adams,19003,41.02903567,-94.69932645,"Adams, Iowa, US",17,0.148,0.11,0.15,0.311,0.281,2802,9642,9.5
MS,Mississippi,Adams,28001,31.47669768,-91.35326037,"Adams, Mississippi, US",679,0.113,0.112,0.131,0.084,0.56,6921,5125,69.8
ND,Nebraska,Adams,31001,40.5244942,-98.50117804,"Adams, Nebraska, US",360,0.057,0.128,0.089,0.291,0.435,216,904,55.7
NE,North Dakota,Adams,38001,46.09686891,-102.5285397,"Adams, North Dakota, US",4,0.219,0.166,0.189,0.233,0.193,3272,9205,2.4
OH,Ohio,Adams,39001,38.84541072,-83.4718964,"Adams, Ohio, US",74,0.074,0.116,0.149,0.222,0.439,2293,8445,48.9
